ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,rowid
,Listener,/,,Pos,Q,?,158
,Listener,/,,Pos,,?,159
,Listener,/,,Neg,Pos,?,160
,Listener,/,,Neg,Q,?,161
,Listener,/,,Neg,,?,162
,Listener,/,,Q,Pos,?,163
,Listener,/,,Q,Q,?,164
,Listener,/,,Q,,?,165
,Listener,/,,,Pos,?,166
,Listener,/,,,Q,?,167
,Listener,/,,,,?,168
,Listener,Y,Yes,Pos,Pos,?,169
,Listener,Y,Yes,Pos,Q,?,170
,Listener,Y,Yes,Pos,,?,171
,Listener,Y,Yes,Neg,Pos,?,172
,Listener,Y,Yes,Neg,Q,?,173
,Listener,Y,Yes,Neg,,?,174
,Listener,Y,Yes,Q,Pos,?,175
,Listener,Y,Yes,Q,Q,?,176
,Listener,Y,Yes,Q,,?,177
,Listener,Y,Yes,,Pos,?,178
,Listener,Y,Yes,,Q,?,179
,Listener,Y,Yes,,,?,180
,Listener,Y,,Pos,Pos,?,181
,Listener,Y,,Pos,Q,?,182
,Listener,Y,,Pos,,?,183
,Listener,Y,,Neg,Pos,?,184
,Listener,Y,,Neg,Q,?,185
,Listener,Y,,Neg,,?,186
,Listener,Y,,Q,Pos,?,187
,Listener,Y,,Q,Q,?,188
,Listener,Y,,Q,,?,189
,Listener,Y,,,Pos,?,190
,Listener,Y,,,Q,?,191
,Listener,Y,,,,?,192
,Listener,N,Yes,Pos,Pos,?,193
,Listener,N,Yes,Pos,Q,?,194
,Listener,N,Yes,Pos,,?,195
,Listener,N,Yes,Neg,Pos,?,196
,Listener,N,Yes,Neg,Q,?,197
,Listener,N,Yes,Neg,,?,198
,Listener,N,Yes,Q,Pos,?,199
,Listener,N,Yes,Q,Q,?,200
,Listener,N,Yes,Q,,?,201
,Listener,N,Yes,,Pos,?,202
,Listener,N,Yes,,Q,?,203
,Listener,N,Yes,,,?,204
,Listener,N,,Pos,Pos,?,205
,Listener,N,,Pos,Q,?,206
,Listener,N,,Pos,,?,207
,Listener,N,,Neg,Pos,?,208
,Listener,N,,Neg,Q,?,209
,Listener,N,,Neg,,?,210
,Listener,N,,Q,Pos,?,211
,Listener,N,,Q,Q,?,212
,Listener,N,,Q,,?,213
,Listener,N,,,Pos,?,214
,Listener,N,,,Q,?,215
,Listener,N,,,,?,216
