rowid,group,estimate,conf.low,conf.high,ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,PronTypeSimple
1,Jun,0.01603420309276212,5.993420758580421e-4,0.2010262690910757,,Speaker,/,Yes,Pos,Pos,?,Qing
2,Jun,0.045844775850312394,6.129307717715342e-4,0.6252327818630813,,Speaker,/,Yes,Pos,Q,?,Qing
3,Jun,0.25101069939266996,0.01155451286317341,0.738564792556324,,Speaker,/,Yes,Pos,,?,Qing
4,Jun,0.0028392716133007765,8.960374186066361e-5,0.04246239354908239,,Speaker,/,Yes,Neg,Pos,?,Qing
5,Jun,0.007888990339050064,1.0636906558061532e-4,0.2228805175877943,,Speaker,/,Yes,Neg,Q,?,Qing
6,Jun,0.04511411307380327,0.0017122526810113559,0.29978316718304937,,Speaker,/,Yes,Neg,,?,Qing
7,Jun,0.0027325444674866067,1.1985331632113037e-4,0.040974578388968785,,Speaker,/,Yes,Q,Pos,?,Qing
8,Jun,0.008666803136943884,1.2142043465284556e-4,0.23404224106786933,,Speaker,/,Yes,Q,Q,?,Qing
9,Jun,0.0930520061206196,0.007728970478353608,0.4317054298202223,,Speaker,/,Yes,Q,,?,Qing
10,Jun,0.003424008309905165,1.1878985327973108e-4,0.049914302018112096,,Speaker,/,Yes,,Pos,?,Qing
11,Jun,0.010064746008710077,1.3258079241135055e-4,0.2575392509833772,,Speaker,/,Yes,,Q,?,Qing
12,Jun,0.05528457842590133,0.0020831238419487985,0.3413819960024468,,Speaker,/,Yes,,,?,Qing
13,Jun,0.015473235569728443,9.714216235330474e-4,0.14836736705010792,,Speaker,/,,Pos,Pos,?,Qing
14,Jun,0.05467421433056422,9.740424794949243e-4,0.6053954829241324,,Speaker,/,,Pos,Q,?,Qing
15,Jun,0.4462961728471817,0.15621326594719562,0.7796032898812615,,Speaker,/,,Pos,,?,Qing
16,Jun,0.0036372134477616327,2.2070482528829027e-4,0.03659496444365,,Speaker,/,,Neg,Pos,?,Qing
17,Jun,0.013230564353916566,2.2606542682902217e-4,0.2582248952622404,,Speaker,/,,Neg,Q,?,Qing
18,Jun,0.1522176400163741,0.04371673427268348,0.4028207373872083,,Speaker,/,,Neg,,?,Qing
19,Jun,0.0013935093012959307,7.06253359037724e-5,0.019961217262520443,,Speaker,/,,Q,Pos,?,Qing
20,Jun,0.005802394986982983,7.762577182054305e-5,0.158822492929496,,Speaker,/,,Q,Q,?,Qing
21,Jun,0.07125950871013946,0.012287161327688933,0.30986088385286115,,Speaker,/,,Q,,?,Qing
22,Jun,0.004121099120838719,2.7510186197017274e-4,0.03832838176477655,,Speaker,/,,,Pos,?,Qing
23,Jun,0.014892620105349533,2.6833544536066623e-4,0.27574274720301756,,Speaker,/,,,Q,?,Qing
24,Jun,0.16906487646263407,0.05321041223324283,0.4304906175581202,,Speaker,/,,,,?,Qing
25,Jun,0.018432380495920945,7.447587479882089e-4,0.2028996467851556,,Speaker,Y,Yes,Pos,Pos,?,Qing
26,Jun,0.04895793287889308,7.276018792628042e-4,0.6231814533171426,,Speaker,Y,Yes,Pos,Q,?,Qing
27,Jun,0.2629452546485279,0.013234229529617801,0.7444009760960666,,Speaker,Y,Yes,Pos,,?,Qing
28,Jun,0.003467987684785479,1.1610848685476642e-4,0.04878317756634001,,Speaker,Y,Yes,Neg,Pos,?,Qing
29,Jun,0.00978070539227979,1.2997797125201757e-4,0.24388548086297718,,Speaker,Y,Yes,Neg,Q,?,Qing
30,Jun,0.04613810994648894,0.0022198343565718102,0.2923829121922895,,Speaker,Y,Yes,Neg,,?,Qing
31,Jun,0.003600789223943402,1.591645028564663e-4,0.04918846126105522,,Speaker,Y,Yes,Q,Pos,?,Qing
32,Jun,0.010883090313319119,1.6319224996038309e-4,0.2642456596520706,,Speaker,Y,Yes,Q,Q,?,Qing
33,Jun,0.11499157291663437,0.00887369772385598,0.4877428251480264,,Speaker,Y,Yes,Q,,?,Qing
34,Jun,0.004072136810874871,1.5882270352288131e-4,0.05447078727284963,,Speaker,Y,Yes,,Pos,?,Qing
35,Jun,0.011607302672528946,1.590865266546827e-4,0.26217845479143514,,Speaker,Y,Yes,,Q,?,Qing
36,Jun,0.05771700415232825,0.002680430268488058,0.33557514525277166,,Speaker,Y,Yes,,,?,Qing
37,Jun,0.010970553090847176,6.298006483597687e-4,0.10874309652026859,,Speaker,Y,,Pos,Pos,?,Qing
38,Jun,0.0392495161630709,8.741530241959044e-4,0.5078951112361183,,Speaker,Y,,Pos,Q,?,Qing
39,Jun,0.3658707528956905,0.11859251060257282,0.6976217185215261,,Speaker,Y,,Pos,,?,Qing
40,Jun,0.004551597827718539,3.0444884115609874e-4,0.04070243293023267,,Speaker,Y,,Neg,Pos,?,Qing
41,Jun,0.01567787798771551,3.1605617595164035e-4,0.27410734444423457,,Speaker,Y,,Neg,Q,?,Qing
42,Jun,0.18628246532788864,0.05641087946419962,0.4584976503297941,,Speaker,Y,,Neg,,?,Qing
43,Jun,0.00171560639579698,8.667948231386516e-5,0.022933091831412226,,Speaker,Y,,Q,Pos,?,Qing
44,Jun,0.00655521598414335,9.856480614935e-5,0.1701261761926272,,Speaker,Y,,Q,Q,?,Qing
45,Jun,0.08924815345667829,0.014717629603886817,0.3501179634203731,,Speaker,Y,,Q,,?,Qing
46,Jun,0.004363361118989793,3.1518432831332497e-4,0.03690201914232474,,Speaker,Y,,,Pos,?,Qing
47,Jun,0.014559445032348522,3.300261316392546e-4,0.2482842224377519,,Speaker,Y,,,Q,?,Qing
48,Jun,0.18545600058453837,0.06266578364973234,0.4336220024611499,,Speaker,Y,,,,?,Qing
49,Jun,0.10945148626233035,0.0021567600733125372,0.7410253870387891,,Speaker,N,Yes,Pos,Pos,?,Qing
50,Jun,0.2648906950850951,0.0026262020250953553,0.9478972493366052,,Speaker,N,Yes,Pos,Q,?,Qing
51,Jun,0.4834965445438355,0.021328839134148465,0.9550679608141058,,Speaker,N,Yes,Pos,,?,Qing
52,Jun,0.017860272478024148,2.7411460155655825e-4,0.315803300677231,,Speaker,N,Yes,Neg,Pos,?,Qing
53,Jun,0.05478179601914235,4.2095428578929644e-4,0.7373808236907003,,Speaker,N,Yes,Neg,Q,?,Qing
54,Jun,0.10121339693035775,0.0033172585587316655,0.6843759953834723,,Speaker,N,Yes,Neg,,?,Qing
55,Jun,0.03886647935911777,0.001188235407115526,0.41321997645622055,,Speaker,N,Yes,Q,Pos,?,Qing
56,Jun,0.10546727178261162,0.0012757501831601795,0.8287868467364642,,Speaker,N,Yes,Q,Q,?,Qing
57,Jun,0.48558965472258186,0.01993435208212852,0.916860194272433,,Speaker,N,Yes,Q,,?,Qing
58,Jun,0.022784748046952,3.6337885413845064e-4,0.34810849286835155,,Speaker,N,Yes,,Pos,?,Qing
59,Jun,0.0679591737337564,5.37900014442333e-4,0.7799496879283322,,Speaker,N,Yes,,Q,?,Qing
60,Jun,0.12489991313259319,0.0041392775484292805,0.7414894124280813,,Speaker,N,Yes,,,?,Qing
61,Jun,0.2578361422490827,0.021213004665654272,0.7803472582603531,,Speaker,N,,Pos,Pos,?,Qing
