rowid,group,estimate,conf.low,conf.high,ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,PronTypeSimple
56,Jun,0.10546727178261162,0.012002196219740652,0.49451834118186,,Speaker,N,Yes,Q,Q,?,Qing
57,Jun,0.48558965472258186,0.1437361687761468,0.7881286021820357,,Speaker,N,Yes,Q,,?,Qing
58,Jun,0.022784748046952,0.0030547606758142614,0.1174832034210146,,Speaker,N,Yes,,Pos,?,Qing
59,Jun,0.0679591737337564,0.006235288636506405,0.38011245314860087,,Speaker,N,Yes,,Q,?,Qing
60,Jun,0.12489991313259319,0.02504163593924813,0.4207896519213301,,Speaker,N,Yes,,,?,Qing
61,Jun,0.2578361422490827,0.0774724875041172,0.5507285574966738,,Speaker,N,,Pos,Pos,?,Qing
62,Jun,0.5171903622785056,0.12431963898643171,0.8726583469041727,,Speaker,N,,Pos,Q,?,Qing
63,Jun,0.9298762501267076,0.8541166136868554,0.9697621441071909,,Speaker,N,,Pos,,?,Qing
64,Jun,0.07317563812679961,0.020208218499161712,0.21552922129040628,,Speaker,N,,Neg,Pos,?,Qing
65,Jun,0.20435381059901636,0.031739240408115516,0.6101005648154771,,Speaker,N,,Neg,Q,?,Qing
66,Jun,0.7455690294411365,0.5838254735524745,0.8609506004810946,,Speaker,N,,Neg,,?,Qing
67,Jun,0.03534588399355623,0.008168399141858632,0.12263225999293316,,Speaker,N,,Q,Pos,?,Qing
68,Jun,0.12244924330089957,0.017267663895896047,0.48438828800379496,,Speaker,N,,Q,Q,?,Qing
69,Jun,0.6417089654275319,0.41469099467491666,0.8231351448185289,,Speaker,N,,Q,,?,Qing
70,Jun,0.08149541835145305,0.023852479641046063,0.23806641706751505,,Speaker,N,,,Pos,?,Qing
71,Jun,0.22646266241827873,0.03750099068187941,0.6311794027569348,,Speaker,N,,,Q,?,Qing
72,Jun,0.7722222407940664,0.6212016438548911,0.877384961101632,,Speaker,N,,,,?,Qing
73,Jun,0.04509285485025084,0.009087023800725347,0.169671888708017,,Equal,/,Yes,Pos,Pos,?,Qing
74,Jun,0.12048042394285449,0.015276701854133698,0.49828088122190295,,Equal,/,Yes,Pos,Q,?,Qing
75,Jun,0.5807942936931276,0.2714343740886397,0.8105774308020591,,Equal,/,Yes,Pos,,?,Qing
76,Jun,0.009099140104765513,0.001754010975362633,0.03734226462939581,,Equal,/,Yes,Neg,Pos,?,Qing
77,Jun,0.026364000326477982,0.003407996443460579,0.15711507765893315,,Equal,/,Yes,Neg,Q,?,Qing
78,Jun,0.19002980871574704,0.05929448356139824,0.4156317984335783,,Equal,/,Yes,Neg,,?,Qing
79,Jun,0.005981054223941906,0.0011415359408700233,0.02574027410798776,,Equal,/,Yes,Q,Pos,?,Qing
80,Jun,0.020498620553950735,0.0024566283222183065,0.13448474036054384,,Equal,/,Yes,Q,Q,?,Qing
81,Jun,0.20133255005664918,0.07595053419134051,0.4318940728576711,,Equal,/,Yes,Q,,?,Qing
82,Jun,0.010693086541967194,0.0023123571794534618,0.04313312180079015,,Equal,/,Yes,,Pos,?,Qing
83,Jun,0.0314397542511603,0.003907191298808388,0.17794465927281747,,Equal,/,Yes,,Q,?,Qing
84,Jun,0.2216693288705203,0.07112528734667437,0.45410091996476165,,Equal,/,Yes,,,?,Qing
85,Jun,0.028134995278680894,0.006771864457213532,0.10537343535892632,,Equal,/,,Pos,Pos,?,Qing
86,Jun,0.1035505437473426,0.013385482863126057,0.4088096719547175,,Equal,/,,Pos,Q,?,Qing
87,Jun,0.6086469188295759,0.4017300774861134,0.786545651467382,,Equal,/,,Pos,,?,Qing
88,Jun,0.006665483927976296,0.0015815234981086045,0.026356208691077312,,Equal,/,,Neg,Pos,?,Qing
89,Jun,0.0252725441142252,0.0032236145254318535,0.14100826135454003,,Equal,/,,Neg,Q,?,Qing
90,Jun,0.2639917370397814,0.14203554982758146,0.43776531516265194,,Equal,/,,Neg,,?,Qing
91,Jun,0.0025508209572697367,5.266016281182038e-4,0.011693471367404666,,Equal,/,,Q,Pos,?,Qing
92,Jun,0.010354695969812026,0.0012463972766048863,0.06927096820800777,,Equal,/,,Q,Q,?,Qing
93,Jun,0.1279126007325292,0.05020400592641286,0.2816109490879575,,Equal,/,,Q,,?,Qing
94,Jun,0.00751096155584065,0.0018955997347647933,0.027652681561519073,,Equal,/,,,Pos,?,Qing
95,Jun,0.02822445169562801,0.0035966558666852434,0.14854562522418396,,Equal,/,,,Q,?,Qing
96,Jun,0.2845187616505256,0.1613389734336685,0.4655791340007169,,Equal,/,,,,?,Qing
97,Jun,0.037345321099392155,0.00864785255516596,0.13291361370829108,,Equal,Y,Yes,Pos,Pos,?,Qing
98,Jun,0.10320807160903898,0.012967447687177776,0.4507007664584247,,Equal,Y,Yes,Pos,Q,?,Qing
99,Jun,0.5706402318728443,0.31165061417500683,0.7802909363682611,,Equal,Y,Yes,Pos,,?,Qing
100,Jun,0.007851373398759241,0.001754859843902801,0.029134456367796796,,Equal,Y,Yes,Neg,Pos,?,Qing
101,Jun,0.02216650307499486,0.00282764916615734,0.13057023780752272,,Equal,Y,Yes,Neg,Q,?,Qing
102,Jun,0.1947118711481261,0.07962492480311427,0.3837467825014371,,Equal,Y,Yes,Neg,,?,Qing
103,Jun,0.004330965464518395,8.863627897019875e-4,0.018484220624424806,,Equal,Y,Yes,Q,Pos,?,Qing
104,Jun,0.014964518771099906,0.0018049774255426063,0.10056979404381242,,Equal,Y,Yes,Q,Q,?,Qing
105,Jun,0.1649296014020585,0.0627855323426588,0.36647964618284123,,Equal,Y,Yes,Q,,?,Qing
106,Jun,0.009581930706728338,0.0021678448137305525,0.032695170363082206,,Equal,Y,Yes,,Pos,?,Qing
107,Jun,0.025497384201080393,0.0033130283656153795,0.14964648567743746,,Equal,Y,Yes,,Q,?,Qing
108,Jun,0.22758674048670624,0.09133582774087785,0.4291018410289592,,Equal,Y,Yes,,,?,Qing
109,Jun,0.0206098154859567,0.004891898176168608,0.07049868582408306,,Equal,Y,,Pos,Pos,?,Qing
110,Jun,0.06916288327432153,0.009404533189054393,0.3391378284429014,,Equal,Y,,Pos,Q,?,Qing
111,Jun,0.5194277670498626,0.32357228750639655,0.7025799085073495,,Equal,Y,,Pos,,?,Qing
112,Jun,0.0048128102361251045,0.0011194642022563832,0.0175622712345192,,Equal,Y,,Neg,Pos,?,Qing
113,Jun,0.018014288811338448,0.0023932944147410052,0.10143973718749055,,Equal,Y,,Neg,Q,?,Qing
114,Jun,0.19870363769467558,0.10479771204165443,0.33531879494361494,,Equal,Y,,Neg,,?,Qing
115,Jun,0.0017767828246986663,3.748238056621632e-4,0.007573453598941137,,Equal,Y,,Q,Pos,?,Qing
116,Jun,0.006649221271281959,8.554053894904497e-4,0.04985544736467835,,Equal,Y,,Q,Q,?,Qing
117,Jun,0.0900151144913936,0.0351499870618859,0.20842476616485398,,Equal,Y,,Q,,?,Qing
118,Jun,0.005324546398478194,0.0013140833583030734,0.018503294777234235,,Equal,Y,,,Pos,?,Qing
119,Jun,0.019769248585283748,0.0026793848161505516,0.11432799763189226,,Equal,Y,,,Q,?,Qing
120,Jun,0.2148015554212072,0.11812194536935025,0.3682299490338409,,Equal,Y,,,,?,Qing
121,Jun,0.17910800581579545,0.03418582081035401,0.5193453603863387,,Equal,N,Yes,Pos,Pos,?,Qing
122,Jun,0.3725980224550558,0.05430337332464803,0.8339288343258251,,Equal,N,Yes,Pos,Q,?,Qing
123,Jun,0.7723808857062154,0.3381492544185021,0.9360701664169452,,Equal,N,Yes,Pos,,?,Qing
124,Jun,0.03746847429333111,0.00594739679045062,0.16021231037696199,,Equal,N,Yes,Neg,Pos,?,Qing
125,Jun,0.09923626401872684,0.009848057676051786,0.4634748164125947,,Equal,N,Yes,Neg,Q,?,Qing
126,Jun,0.31396458013606343,0.06794922008375863,0.6766670514787069,,Equal,N,Yes,Neg,,?,Qing
127,Jun,0.04098831730896896,0.007638825619533554,0.16153981462153472,,Equal,N,Yes,Q,Pos,?,Qing
128,Jun,0.11590227346541748,0.014184919309627685,0.5118107809866884,,Equal,N,Yes,Q,Q,?,Qing
129,Jun,0.5765137239267959,0.25178916065042845,0.831162452121192,,Equal,N,Yes,Q,,?,Qing
130,Jun,0.04511113533281677,0.007577962115173031,0.18156069303208305,,Equal,N,Yes,,Pos,?,Qing
131,Jun,0.11400019112445997,0.01200678216167387,0.5033409189657905,,Equal,N,Yes,,Q,?,Qing
132,Jun,0.3630017224685953,0.08804710594560074,0.7214569479802977,,Equal,N,Yes,,,?,Qing
133,Jun,0.212624673593816,0.06040894931184798,0.49983609380540267,,Equal,N,,Pos,Pos,?,Qing
134,Jun,0.4734119914028332,0.10435759265876178,0.8577132527813423,,Equal,N,,Pos,Q,?,Qing
135,Jun,0.924509878149679,0.8350148318460564,0.9679538300633215,,Equal,N,,Pos,,?,Qing
136,Jun,0.05780751538641185,0.015244841051915235,0.18285562329324578,,Equal,N,,Neg,Pos,?,Qing
137,Jun,0.17662746875631274,0.028390936606935452,0.580635212221999,,Equal,N,,Neg,Q,?,Qing
138,Jun,0.7381964238745986,0.567647954052651,0.8612203833282868,,Equal,N,,Neg,,?,Qing
139,Jun,0.025515580035941017,0.005478664386696255,0.09429420647743725,,Equal,N,,Q,Pos,?,Qing
140,Jun,0.09332326093264978,0.012036403728245718,0.41381035269026417,,Equal,N,,Q,Q,?,Qing
141,Jun,0.5794050443988776,0.32976629999861384,0.7858664358954158,,Equal,N,,Q,,?,Qing
142,Jun,0.06698743826982015,0.017785239900850035,0.20009297898469736,,Equal,N,,,Pos,?,Qing
143,Jun,0.18979908689852087,0.032747426314284546,0.6087373658277916,,Equal,N,,,Q,?,Qing
144,Jun,0.7612009641104616,0.5933535690519697,0.8757840179005506,,Equal,N,,,,?,Qing
145,Jun,0.08352693137136416,0.014930213782333215,0.2882762385797848,,Listener,/,Yes,Pos,Pos,?,Qing
146,Jun,0.20515668998615444,0.029204419054360838,0.6752678487659718,,Listener,/,Yes,Pos,Q,?,Qing
147,Jun,0.6712426331746151,0.31714368939832177,0.8758428507845777,,Listener,/,Yes,Pos,,?,Qing
