rowname,Estimate,Est.Error,Q10,Q90
muQing_Intercept,0.4473363423154093,0.8917201763924094,-0.6597199437375811,1.592726531997918
muGong_Intercept,-5.431914653070639,2.232630207553759,-8.41504669692857,-2.7084307504085827
muRuEr_Intercept,-5.299585889964096,2.115466492255894,-8.090627237086606,-2.6703525592129944
muQing_PowerEqual,0.9899277597624003,1.0973756059061637,-0.3976050440390745,2.396578671051
muQing_PowerListener,-0.9626984664123123,1.3234192911613445,-2.6915985747350484,0.7106173846289429
muQing_PowerSpeaker,1.587781591177053,0.9635447567399082,0.38113799464546994,2.8039152365515214
muQing_IntimateN,-2.4774317327509014,1.8391962913162854,-4.817368020195472,-0.1647990615357124
muQing_IntimateY,1.063098367504905,1.7721810420049833,-1.1743996117207316,3.3281539835367626
muQing_StanceHNeg,0.1322811501562984,0.42319589098929866,-0.4122747404107563,0.6791273168781867
muQing_StanceHPos,-1.3967523159633253,0.6650254386821678,-2.2459961141546705,-0.560354468784305
muQing_StanceHQ,1.1020405288156643,0.9835374103786686,-0.13711008443246375,2.3672177930480793
muQing_StanceSPos,4.097055262557652,1.6621095972031772,2.0742210420601515,6.333969690401213
muQing_StanceSQ,2.792411101244366,2.7691080798135483,-0.5817565443453877,6.520912023122089
muQing_KinYes,-1.036660331414965,0.6509823448449948,-1.8822832732428048,-0.20473392129062654
muQing_ImpositionHHBen,-0.31845286093299013,0.7231770730090873,-1.262974997274105,0.6105777887024728
muQing_ImpositionHLifting,-1.0114738753537196,2.0704749445036406,-3.627078381438871,1.6079546691803135
muQing_ImpositionHT,1.1360155872087883,0.7634900433994177,0.15741655342699432,2.124315427658565
muQing_PowerEqual:IntimateN,0.15541564795107432,1.9994767966751748,-2.342982378556246,2.6951188296069493
muQing_PowerListener:IntimateN,0.9658010516048534,2.0777983982413026,-1.6633691389661789,3.574643129475508
muQing_PowerSpeaker:IntimateN,-0.820677640965797,1.9251577097816657,-3.2788227396519187,1.6560832432340515
muQing_PowerEqual:IntimateY,-0.6693865723319379,1.8968606383504878,-3.0793653157071748,1.7920695254009518
muQing_PowerListener:IntimateY,-0.3782202819409284,2.0218131144571525,-2.97135774460735,2.2560296335334926
muQing_PowerSpeaker:IntimateY,-1.3743887925774216,1.8043332328977413,-3.6674335468706616,0.9471142847521339
muGong_PowerEqual,-2.755041817131285,2.9292707484265943,-6.588692457011917,0.858005501503326
muGong_PowerListener,6.830276687044124,2.227499559337225,4.040900303196389,9.788238483505717
muGong_PowerSpeaker,-1.0491126366057664,2.4229239792977113,-4.073399336567317,2.0550928363054073
muGong_IntimateN,-2.2588950049011434,2.576925692263679,-5.496873043219533,0.951561831051813
muGong_IntimateY,1.4101241968912352,2.3601242194577985,-1.5581995509381317,4.414879746317842
muGong_StanceHNeg,-2.229365569805491,1.1060456131330596,-3.6617952998976735,-0.8616478465371192
muGong_StanceHPos,0.5454482192074335,1.1594070172540585,-0.8628903967321262,2.0201818884427842
muGong_StanceHQ,-1.895417091964735,2.9429971444523257,-5.7925161705155315,1.6583976060963606
muGong_StanceSPos,3.0265330830257295,2.6765310619932015,-0.3881265679175649,6.394890314354062
muGong_StanceSQ,-0.13924382148557127,3.8168909445030996,-5.056502636920064,4.705396387282073
muGong_KinYes,-5.747216776825521,2.075617382185822,-8.553141791734792,-3.195970257995833
muGong_ImpositionHHBen,1.4760237450129285,1.2179608002031566,-0.021226592247588886,3.0152714365225033
muGong_ImpositionHLifting,-1.9495556199569444,3.1682995090940405,-6.068128946021115,1.9264233299445632
muGong_ImpositionHT,1.0743774963413768,1.42798229434992,-0.7346505437846986,2.8861657274036787
muGong_PowerEqual:IntimateN,-0.553985665578855,3.7531445317573238,-5.327800821781583,4.224888660607682
muGong_PowerListener:IntimateN,-0.12423388548704262,2.651311911801913,-3.4988408673556495,3.2611485642650595
muGong_PowerSpeaker:IntimateN,-1.210006556868798,3.3309073325141973,-5.552263838279289,3.0653653660246434
muGong_PowerEqual:IntimateY,-1.45465321356978,3.2800755797951937,-5.594809545570413,2.7648576994077096
muGong_PowerListener:IntimateY,-0.613552653627958,2.4499706741212424,-3.732107459639853,2.54722282450027
muGong_PowerSpeaker:IntimateY,3.5189017850903848,2.6414285037013747,0.18194905170271672,6.947128596323372
muRuEr_PowerEqual,0.578442318805222,2.2886929021764546,-2.3361712956329197,3.4824638013789326
muRuEr_PowerListener,0.14113781976055925,2.4194882420399684,-3.0043379607318546,3.161947950121904
muRuEr_PowerSpeaker,2.905951630604372,2.0298947962432687,0.31992366055865173,5.555071509698621
muRuEr_IntimateN,-1.4478598988122242,2.196580149321407,-4.295340206544422,1.3627332225220155
muRuEr_IntimateY,-1.6355494311531478,2.2541649771565124,-4.573747506570319,1.2625302619556356
muRuEr_StanceHNeg,0.2641387572564256,0.7603012187479192,-0.6874348043914117,1.2345854296462595
muRuEr_StanceHPos,-1.9516426612891102,1.4801203395886668,-3.8826371630170713,-0.16801689189778543
muRuEr_StanceHQ,-2.8223408168629134,2.6767072897731037,-6.342664423532623,0.38259439086214664
muRuEr_StanceSPos,1.2205960636831392,2.5774250258370817,-2.0347574967537243,4.518875333370724
muRuEr_StanceSQ,-0.6412430745152079,3.668052787740928,-5.380481216208068,4.010526237082301
